id,model,children,archival_object_id,has_finding_aid_1,identifier_1,institution_1,local_collection_id_1,repository_1,resource_type,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility
ws85b508z,Image,ws85b507p,255133,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b236_T00006_print_copy3,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/NoC-US/1.0/,http://creativecommons.org/publicdomain/mark/1.0/,,,,,http://id.loc.gov/authorities/subjects/sh85135386,http://id.loc.gov/authorities/subjects/sh85136466,http://id.loc.gov/authorities/subjects/sh85078096,http://id.loc.gov/authorities/subjects/sh85079362,http://id.loc.gov/authorities/subjects/sh85078097,http://id.loc.gov/authorities/subjects/sh85078084,,,,Old time tractor and logs.  (recto),open
df737776f,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b166_02358,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85093871,http://id.loc.gov/authorities/names/n2002117083,http://id.loc.gov/authorities/subjects/sh85040193,,,,,,,PH037_b166_02358,open
df7351218,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b153_T00138,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85050609,http://id.loc.gov/authorities/subjects/sh85050707,,,,,,,,PH037_b153_T00138 Angelus Studio Photographs,open
kp78h5967,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b214_48318_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh86005000,http://id.loc.gov/authorities/subjects/sh85039407,,,,,,,,PH037_b214_48318_print (verso),open
df738k281,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b206_Z00574,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85109802,http://id.loc.gov/authorities/subjects/sh85047932,http://id.loc.gov/authorities/subjects/sh2007002543,http://id.loc.gov/authorities/subjects/sh85147274,http://id.loc.gov/authorities/subjects/sh85105203,http://id.loc.gov/authorities/names/n82215451,,,,Queen Jean II.  Portland Rose Festival.,open
df71g4550,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b034_B00776,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85040193,http://id.loc.gov/authorities/subjects/sh85005908,http://id.loc.gov/authorities/subjects/sh85017769,,,,,,,"Serene Court Apartments, on E. 1st St., Portland.",open
df737745f,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b166_82941,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85048485,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85057399,,,,,,,PH037_b166_82941,open
kp78hf266,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b215_03106_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85039802,http://id.loc.gov/authorities/subjects/sh85121591,,,,,,,,PH037_b215_03106_print (verso),open
df71fr59n,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b014_BR00136,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85015159,http://id.loc.gov/authorities/subjects/sh85028740,http://id.loc.gov/authorities/subjects/sh94007041,http://id.loc.gov/authorities/subjects/sh92004662,,,,,PH037_b014_BR00136 Angelus Studio Photographs,open
df737d58j,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b164_70704,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85016829,http://id.loc.gov/authorities/subjects/sh85074392,http://id.loc.gov/authorities/subjects/sh85034369,http://id.loc.gov/authorities/subjects/sh85114250,,,,,,PH037_b164_70704,open
df738s62k,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b202_46078_copy3,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85035448,http://id.loc.gov/authorities/subjects/sh85138148,http://id.loc.gov/authorities/subjects/sh85122412,http://id.loc.gov/authorities/subjects/sh85145251,http://id.loc.gov/authorities/subjects/sh87002489,,,,,PH037_b202_46078_copy3,open
