file,title,identifier,author,description,subject,location,date,rights_statement,license,rights_holder,use_restrictions,language,repository,local_collection_name,local_collection_id,series_name,box_number,folder_number,has_finding_aid,workType,resource_type,format,institution,model,visibility,,
Ax604_b003_f021_001_054.pdf,Play Fragments by William J. Rapp and Wallace Thurman [b003] [f021] [001_054],Ax604_b003_f021_001_054,http://id.loc.gov/authorities/names/no2013038294|http://id.loc.gov/authorities/names/n50011901,"William Jourdan Rapp (1895-1942) was a free-lance writer, playwright, radio script writer, and producer. The collection contains correspondence, plays, advertising and article manuscripts, Harlem Renaissance research, biographical material, publications, photographs, and a WWI era scrapbook of a YMCA camp in Greece.|Play fragments. Harlem Apartment",http://id.loc.gov/authorities/subjects/sh87003938|http://id.loc.gov/authorities/subjects/sh2005003059|http://id.loc.gov/authorities/subjects/sh85058929|http://id.loc.gov/authorities/subjects/sh85085132|http://id.loc.gov/authorities/subjects/sh2008112860|http://id.loc.gov/authorities/subjects/sh2008112856|http://id.loc.gov/authorities/subjects/sh85148236|http://id.loc.gov/authorities/subjects/sh85023418,https://sws.geonames.org/5128581/,1911/1942,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nc-nd/4.0/,University of Oregon. Libraries. Special Collections & University Archives,"Property rights reside with Special Collections & University Archives, University of Oregon Libraries. All requests for permission to publish collection materials must be submitted to Special Collections & University Archives.",http://id.loc.gov/vocabulary/iso639-2/eng,http://id.loc.gov/authorities/names/no2003116678,http://opaquenamespace.org/ns/localCollectionName/WilliamJRappPapers19111942,Ax 604,"Manuscripts, circa 1920-1940|Plays",3,21,https://scua.uoregon.edu/repositories/2/resources/864,http://vocab.getty.edu/aat/300028579|http://vocab.getty.edu/aat/300201028,http://purl.org/dc/dcmitype/Text,https://w3id.org/spar/mediatype/application/pdf,http://id.loc.gov/authorities/names/n80126183,Document,open,,
Ax604_b003_f021_055_060.pdf,Play Fragments by William J. Rapp and Wallace Thurman [b003] [f021] [055_060],Ax604_b003_f021_055_060,http://id.loc.gov/authorities/names/no2013038294|http://id.loc.gov/authorities/names/n50011901,"William Jourdan Rapp (1895-1942) was a free-lance writer, playwright, radio script writer, and producer. The collection contains correspondence, plays, advertising and article manuscripts, Harlem Renaissance research, biographical material, publications, photographs, and a WWI era scrapbook of a YMCA camp in Greece.|Play fragments. Unfinished play. Devil's Island",http://id.loc.gov/authorities/subjects/sh87003938|http://id.loc.gov/authorities/subjects/sh2005003059|http://id.loc.gov/authorities/subjects/sh85058929|http://id.loc.gov/authorities/subjects/sh85085132|http://id.loc.gov/authorities/subjects/sh2008112860|http://id.loc.gov/authorities/subjects/sh2008112856|http://id.loc.gov/authorities/subjects/sh85148236|http://id.loc.gov/authorities/subjects/sh85023418,https://sws.geonames.org/5128581/,1911/1942,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nc-nd/4.0/,University of Oregon. Libraries. Special Collections & University Archives,"Property rights reside with Special Collections & University Archives, University of Oregon Libraries. All requests for permission to publish collection materials must be submitted to Special Collections & University Archives.",http://id.loc.gov/vocabulary/iso639-2/eng,http://id.loc.gov/authorities/names/no2003116678,http://opaquenamespace.org/ns/localCollectionName/WilliamJRappPapers19111942,Ax 604,"Manuscripts, circa 1920-1940|Plays",3,21,https://scua.uoregon.edu/repositories/2/resources/864,http://vocab.getty.edu/aat/300028579|http://vocab.getty.edu/aat/300201028,http://purl.org/dc/dcmitype/Text,https://w3id.org/spar/mediatype/application/pdf,http://id.loc.gov/authorities/names/n80126183,Document,open,,
Ax604_b003_f021_061_090.pdf,Play Fragments by William J. Rapp and Wallace Thurman [b003] [f021] [061_090],Ax604_b003_f021_061_090,http://id.loc.gov/authorities/names/no2013038294,"William Jourdan Rapp (1895-1942) was a free-lance writer, playwright, radio script writer, and producer. The collection contains correspondence, plays, advertising and article manuscripts, Harlem Renaissance research, biographical material, publications, photographs, and a WWI era scrapbook of a YMCA camp in Greece.|Play fragments. The Island of Desperate Men by William Jourdan Rapp",http://id.loc.gov/authorities/subjects/sh87003938|http://id.loc.gov/authorities/subjects/sh2005003059|http://id.loc.gov/authorities/subjects/sh85058929|http://id.loc.gov/authorities/subjects/sh85085132|http://id.loc.gov/authorities/subjects/sh2008112860|http://id.loc.gov/authorities/subjects/sh2008112856|http://id.loc.gov/authorities/subjects/sh85148236|http://id.loc.gov/authorities/subjects/sh85023418,https://sws.geonames.org/5128581/,1911/1942,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nc-nd/4.0/,University of Oregon. Libraries. Special Collections & University Archives,"Property rights reside with Special Collections & University Archives, University of Oregon Libraries. All requests for permission to publish collection materials must be submitted to Special Collections & University Archives.",http://id.loc.gov/vocabulary/iso639-2/eng,http://id.loc.gov/authorities/names/no2003116678,http://opaquenamespace.org/ns/localCollectionName/WilliamJRappPapers19111942,Ax 604,"Manuscripts, circa 1920-1940|Plays",3,21,https://scua.uoregon.edu/repositories/2/resources/864,http://vocab.getty.edu/aat/300028579|http://vocab.getty.edu/aat/300201028,http://purl.org/dc/dcmitype/Text,https://w3id.org/spar/mediatype/application/pdf,http://id.loc.gov/authorities/names/n80126183,Document,open,,
Ax604_b003_f021_091_095.pdf,Play Fragments by William J. Rapp and Wallace Thurman [b003] [f021] [091_095],Ax604_b003_f021_091_095,http://id.loc.gov/authorities/names/no2013038294|http://id.loc.gov/authorities/names/n50011901,"William Jourdan Rapp (1895-1942) was a free-lance writer, playwright, radio script writer, and producer. The collection contains correspondence, plays, advertising and article manuscripts, Harlem Renaissance research, biographical material, publications, photographs, and a WWI era scrapbook of a YMCA camp in Greece.|Play fragments. Some handwritten notes.",http://id.loc.gov/authorities/subjects/sh87003938|http://id.loc.gov/authorities/subjects/sh2005003059|http://id.loc.gov/authorities/subjects/sh85058929|http://id.loc.gov/authorities/subjects/sh85085132|http://id.loc.gov/authorities/subjects/sh2008112860|http://id.loc.gov/authorities/subjects/sh2008112856|http://id.loc.gov/authorities/subjects/sh85148236|http://id.loc.gov/authorities/subjects/sh85023418,https://sws.geonames.org/5128581/,1911/1942,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nc-nd/4.0/,University of Oregon. Libraries. Special Collections & University Archives,"Property rights reside with Special Collections & University Archives, University of Oregon Libraries. All requests for permission to publish collection materials must be submitted to Special Collections & University Archives.",http://id.loc.gov/vocabulary/iso639-2/eng,http://id.loc.gov/authorities/names/no2003116678,http://opaquenamespace.org/ns/localCollectionName/WilliamJRappPapers19111942,Ax 604,"Manuscripts, circa 1920-1940|Plays",3,21,https://scua.uoregon.edu/repositories/2/resources/864,http://vocab.getty.edu/aat/300028579|http://vocab.getty.edu/aat/300201028,http://purl.org/dc/dcmitype/Text,https://w3id.org/spar/mediatype/application/pdf,http://id.loc.gov/authorities/names/n80126183,Document,open,,
