id,model,archival_object_id,has_finding_aid_1,identifier_1,institution_1,local_collection_id_1,repository_1,resource_type,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility
df737n62k,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b178_B00312,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh98005772,http://id.loc.gov/authorities/subjects/sh85034333,http://id.loc.gov/authorities/subjects/sh85128377,,,,,,"View from above of Opening Day, Woolworth Store at Broadway and Alder. Street in front of store jammed with people.",open
k35699732,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b220_02763_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85083510,http://id.loc.gov/authorities/subjects/sh85050707,,,,,,,,Oregon Charcoal Iron Co. -open cut. (verso),open
gb19ff861,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b228_00599_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh2003003584,http://id.loc.gov/authorities/subjects/sh85148044,http://id.loc.gov/authorities/subjects/sh85046354,,,,,,,Wyoming display.,open
gb19fj088,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b229_S01110_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85028740,http://id.loc.gov/authorities/subjects/sh85074366,http://id.loc.gov/authorities/subjects/sh95008818,http://id.loc.gov/authorities/subjects/sh85087823,,,,,PH037_b229_S01110_print (verso),open
n870zr75c,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b213_27881_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85122412,http://id.loc.gov/authorities/subjects/sh85016165,http://id.loc.gov/authorities/names/n86810476,http://id.loc.gov/authorities/subjects/sh85123693,http://id.loc.gov/authorities/subjects/sh85113249,http://id.loc.gov/authorities/subjects/sh93000645,http://id.loc.gov/authorities/subjects/sh85017769,,,PH037_b213_27881_print (recto),open
df738p769,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b209_64834_nitrate,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85105182,http://id.loc.gov/authorities/subjects/sh85147274,http://id.loc.gov/authorities/subjects/sh85033238,,,,,,,PH037_b209_64834_nitrate,open
gb19ff72p,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b228_00561_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/names/n84018492,http://id.loc.gov/authorities/subjects/sh85062160,http://id.loc.gov/authorities/subjects/sh85048972,http://id.loc.gov/authorities/subjects/sh85046354,http://id.loc.gov/authorities/subjects/sh85083510,http://id.loc.gov/authorities/subjects/sh85147274,,,,PH037_b228_00561_print,open
df71gb04r,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b056_H00110,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85062160,http://id.loc.gov/authorities/subjects/sh85116480,http://id.loc.gov/authorities/subjects/sh85144807,http://id.loc.gov/authorities/subjects/sh85033638,http://id.loc.gov/authorities/subjects/sh85146057,,,,,Filling water wagon (by bucket).,open
df71zx35p,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b076_OP00047,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85105203,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85052522,http://id.loc.gov/authorities/subjects/sh85046823,,,,,,PH037_b076_OP00047 Angelus Studio Photographs,open
jm215654j,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b218_05742_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114559,http://id.loc.gov/authorities/subjects/sh85114487,http://id.loc.gov/authorities/subjects/sh85087823,,,,,,,"Another section, Echo-Pendleton road (verso)",open
