id,model,children,archival_object_id,has_finding_aid_1,identifier_1,institution_1,local_collection_id_1,repository_1,resource_type,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility,
df71gc919,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b030_B00657,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85040193,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85005908,,,,,,,"Dezendorf Apartments on 16th St., Portland. Vacant lots on both sides of building.",open,
df7379439,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b169_71572,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85025778,http://id.loc.gov/authorities/subjects/sh85098119,,,,,,,,PH037_b169_71572,open,
df738d63k,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b190_74375_copy1,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85122574,http://id.loc.gov/authorities/subjects/sh85139691,http://id.loc.gov/authorities/subjects/sh85104183,http://id.loc.gov/authorities/subjects/sh85104204,,,,,,Portland Dock Commission.,open,
df738q05j,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b209_81099_nitrate,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85049144,http://id.loc.gov/authorities/names/n82215451,http://id.loc.gov/authorities/subjects/sh85034333,http://id.loc.gov/authorities/names/n79129205,http://id.loc.gov/authorities/subjects/sh85127212,,,,,PH037_b209_81099_nitrate,open,
ws859w814,Image,ws859w82d,255209,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b233_Z00442_print_copy2,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,http://id.loc.gov/authorities/subjects/sh85145756,http://id.loc.gov/authorities/subjects/sh85078814,http://id.loc.gov/authorities/subjects/sh85078084,,http://id.loc.gov/authorities/subjects/sh85135386,http://id.loc.gov/authorities/subjects/sh85050707,http://id.loc.gov/authorities/subjects/sh85061404,http://id.loc.gov/authorities/subjects/sh85078096,http://id.loc.gov/authorities/subjects/sh85038703,http://id.loc.gov/authorities/subjects/sh85135388,http://id.loc.gov/authorities/subjects/sh85127732,http://id.loc.gov/authorities/subjects/sh85090254,http://id.loc.gov/authorities/subjects/sh85078097,PH037_b233_Z00442_print_copy2 (recto),open,
kp78h359p,Image,kp78h358d,247538,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b214_51226_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85119383,http://id.loc.gov/authorities/subjects/sh85009485,,,,,,,,PH037_b214_51226_print (recto),open,
df71fs226,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b017_B00070,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,http://id.loc.gov/authorities/subjects/sh85005008,,,,http://id.loc.gov/authorities/subjects/sh2008001502,http://id.loc.gov/authorities/subjects/sh87001282,http://id.loc.gov/authorities/subjects/sh85146940,http://id.loc.gov/authorities/subjects/sh85025854,http://id.loc.gov/authorities/subjects/sh85069964,http://id.loc.gov/authorities/subjects/sh85055109,http://id.loc.gov/authorities/subjects/sh85025011,http://id.loc.gov/authorities/subjects/sh85146942,http://id.loc.gov/authorities/subjects/sh85007972,"Interior of First Congregational Church, Portland, showing row of stained glass windows separated by columns. Row of pews in foreground.",open,
df71g7133,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b045_Z01313,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85049144,http://id.loc.gov/authorities/subjects/sh85097741,,,,,,,,Parade Float of a Freighter ship.,open,
k3569b24b,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b220_14565_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85011609,,,,,,,,Astoria National Bank building. (verso),open,
jm214p43r,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b217_07018_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85062160,http://id.loc.gov/authorities/subjects/sh85049144,http://id.loc.gov/authorities/subjects/sh85097741,,,,,,,PH037_b217_07018_print (verso),open,
