id,model,children,archival_object_id,has_finding_aid_1,identifier_1,institution_1,local_collection_id_1,repository_1,resource_type,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility,
k3569c220,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b220_AG00327_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85136466,http://id.loc.gov/authorities/subjects/sh85095323,http://id.loc.gov/authorities/subjects/sh85083510,,,,,,,PH037_b220_AG00327_print (recto),open,
df72cn59t,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b136_MF00092,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85046823,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85065835,http://id.loc.gov/authorities/subjects/sh85134356,,,,,,PH037_b136_MF00092 Angelus Studio Photographs,open,
gb19fg671,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b228_Z00339_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85118403,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85060735,,,,,,,High school building.,open,
n870zw471,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b226_Z00294_print_copy2,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85012328,http://id.loc.gov/authorities/names/no97062951,http://id.loc.gov/authorities/subjects/sh85001086,,,,,,,Jantzen The National Swimming Suit Poster (recto),open,
df738h18c,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b197_S00928,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh2005020013,http://id.loc.gov/authorities/subjects/sh85087822,http://id.loc.gov/authorities/subjects/sh85055066,http://id.loc.gov/authorities/subjects/sh85087823,,,,,,PH037_b197_S00928,open,
j3860n54n,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b216_00075_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85100163,http://id.loc.gov/authorities/subjects/sh85034333,http://id.loc.gov/authorities/subjects/sh85017769,,,,,,,PH037_b216_00075_print (recto),open,
k35697161,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b220_07847_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85017769,,,,,,,,PH037_b220_07847_print (verso),open,
df737h39z,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b172_60493,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85131810,http://id.loc.gov/authorities/subjects/sh2016002750,http://id.loc.gov/authorities/subjects/sh85113249,http://id.loc.gov/authorities/subjects/sh85038072,http://id.loc.gov/authorities/subjects/sh85022351,,,,,PH037_b172_60493,open,
df734t488,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b144_H00530,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/names/n84018492,http://id.loc.gov/authorities/subjects/sh85046354,http://id.loc.gov/authorities/subjects/sh85105203,http://id.loc.gov/authorities/subjects/sh85017769,,,,,,PH037_b144_H00530 Angelus Studio Photographs,open,
df735531b,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b159_T00287_copy2,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85033787,http://id.loc.gov/authorities/subjects/sh86003884,http://id.loc.gov/authorities/subjects/sh85002317,http://id.loc.gov/authorities/subjects/sh85078814,http://id.loc.gov/authorities/subjects/sh85136466,http://id.loc.gov/authorities/subjects/sh00006584,http://id.loc.gov/authorities/subjects/sh85102684,http://id.loc.gov/authorities/subjects/sh85078804,http://id.loc.gov/authorities/subjects/sh85135386,Lumber mill.,open,
