id,model,children,archival_object_id,has_finding_aid_1,identifier_1,institution_1,local_collection_id_1,repository_1,resource_type,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility,
jm215b47z,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b219_T00009_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85078097,http://id.loc.gov/authorities/subjects/sh85050707,http://id.loc.gov/authorities/subjects/sh85078804,,,,,,,PH037_b219_T00009_print (verso),open,
kp78hg35c,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b215_31440_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85062487,http://id.loc.gov/authorities/subjects/sh85010201,http://id.loc.gov/authorities/subjects/sh85017769,,,,,,,Congress Hotel. (verso),open,
ws85bc086,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b239_126r,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/NoC-US/1.0/,http://creativecommons.org/publicdomain/mark/1.0/,,,,,http://id.loc.gov/authorities/subjects/sh85101264,http://id.loc.gov/authorities/subjects/sh85026130,,,,,,,,PH037_b239_126r (recto),open,
df720044c,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b084_S00068,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85145720,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85090277,http://id.loc.gov/authorities/subjects/sh85137241,http://id.loc.gov/authorities/subjects/sh85111428,,,,,PH037_b084_S00068 Angelus Studio Photographs,open,
jm215c920,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b219_Z00253_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85083510,http://id.loc.gov/authorities/subjects/sh85005249,http://id.loc.gov/authorities/subjects/sh85078097,http://id.loc.gov/authorities/subjects/sh85050707,,,,,,PH037_b219_Z00253_print (verso),open,
df720m43t,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PHO37_b120_SH00557,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85038703,http://id.loc.gov/authorities/subjects/sh85121591,http://id.loc.gov/authorities/subjects/sh85033740,http://id.loc.gov/authorities/subjects/sh85087168,http://id.loc.gov/authorities/subjects/sh85058838,http://id.loc.gov/authorities/subjects/sh85039802,,,,PHO37_b120_SH00557 Angelus Studio Photographs,open,
df72cm059,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b128_Z00784,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017704,http://id.loc.gov/authorities/subjects/sh85108987,,,,,,,,Two pulleys.,open,
ws859m20r,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b225_00912_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017740,http://id.loc.gov/authorities/subjects/sh2006009037,http://id.loc.gov/authorities/subjects/sh85017769,,,,,,,Liberal Arts Building [00912]  (recto),open,
gb19fh55f,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b228_00493_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85048972,http://id.loc.gov/authorities/subjects/sh85046354,http://id.loc.gov/authorities/subjects/sh2003003584,http://id.loc.gov/authorities/names/no2019058949,,,,,,William Powell Co. display.,open,
jm214r66g,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b217_32624_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85049144,http://id.loc.gov/authorities/subjects/sh85097741,http://id.loc.gov/authorities/subjects/sh85047932,http://id.loc.gov/authorities/subjects/sh85100163,,,,,,Portland Rotary Club, Rose Festival parade (verso),open
df737932s,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b169_71333,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85004709,http://id.loc.gov/authorities/subjects/sh85004698,,,,,,,,PH037_b169_71333,open,
df71fv36z,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b025_B00487,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85048229,http://id.loc.gov/authorities/subjects/sh85088079,http://id.loc.gov/authorities/subjects/sh90003953,http://id.loc.gov/authorities/subjects/sh85122412,http://id.loc.gov/authorities/subjects/sh85134578,http://id.loc.gov/authorities/subjects/sh85041783,http://id.loc.gov/authorities/subjects/sh85048485,,,"Baker Theatre on corner of 6th and Morrison, Portland. Streetlights along sidewalk in foreground.",open,
