id,model,children,archival_object_id,date_1,has_finding_aid_1,identifier_1,institution_1,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,local_collection_id_1,location_1,location_2,location_3,photographer_1,photographer_2,repository_1,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility,
ws859j392,Image,,,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b224_06188_print_v,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh88006125,http://id.loc.gov/authorities/subjects/sh85015159,http://id.loc.gov/authorities/subjects/sh2003004821,,,,,,,Sea-going log raft (verso),open,
ws859j481,Image,ws859j47r,245113,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b224_Z00067_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,https://sws.geonames.org/5746545/,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85097741,http://id.loc.gov/authorities/subjects/sh85048972,http://id.loc.gov/authorities/subjects/sh2003000203,http://id.loc.gov/authorities/subjects/sh85034333,,,,,,PH037_b224_Z00067 (recto),open,
ws859n97k,Image,ws859n969,245320,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b230_Z00137_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85012026,http://id.loc.gov/authorities/subjects/sh85083510,http://id.loc.gov/authorities/subjects/sh93010131,http://id.loc.gov/authorities/subjects/sh85105182,,,,,,PH037_b230_Z00137_print (recto),open,
ws859w70m,Image,ws859w725,255204,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b233_Z00439_print_copy2,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,http://id.loc.gov/authorities/subjects/sh85078097,http://id.loc.gov/authorities/subjects/sh85137241,http://id.loc.gov/authorities/subjects/sh85148144,http://id.loc.gov/authorities/subjects/sh85050707,http://id.loc.gov/authorities/subjects/sh85078096,http://id.loc.gov/authorities/subjects/sh85117794,http://id.loc.gov/authorities/subjects/sh2015002344,http://id.loc.gov/authorities/subjects/sh85083510,http://id.loc.gov/authorities/subjects/sh85090254,http://id.loc.gov/authorities/subjects/sh85059282,http://id.loc.gov/authorities/subjects/sh85135386,http://id.loc.gov/authorities/subjects/sh85010581,http://id.loc.gov/authorities/subjects/sh85136049,PH037_b233_Z00439_print_copy2 (recto),open,
ws85bb84t,Image,ws85bb83j,,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b239_115r,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85083510,http://id.loc.gov/authorities/subjects/sh85010201,http://id.loc.gov/authorities/subjects/sh85040193,http://id.loc.gov/authorities/subjects/sh85023418,http://id.loc.gov/authorities/subjects/sh85147274,http://id.loc.gov/authorities/subjects/sh85105203,,,PH037_b239_115r (recto),open,
df720103b,Image,,,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b086_S00139,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,https://sws.geonames.org/5761967/,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh94007041,http://id.loc.gov/authorities/subjects/sh85137241,http://id.loc.gov/authorities/subjects/sh85090277,,,,,,PH037_b086_S00139 Angelus Studio Photographs,open,
bv73c859f,Image,bv73c8585,251440,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b221_R00182_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85010201,http://id.loc.gov/authorities/subjects/sh85017769,,,,,,,,PH037_b221_R00182_print (recto),open,
bv73cb86r,Image,bv73cb757,249261,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b222_H00034_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh2018000303,,,,,,,,,Portland City Hall.  (recto),open,
ws859r06r,Image,ws859r046,252916,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b231_Z00391_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114559,http://id.loc.gov/authorities/subjects/sh89000505,http://id.loc.gov/authorities/subjects/sh85144807,http://id.loc.gov/authorities/subjects/sh85137241,http://id.loc.gov/authorities/subjects/sh85062160,,,,,PH037_b231_Z00391_print (recto),open,
ws859j96p,Image,ws859j97z,243674,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b224_Z00088_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85050312,http://id.loc.gov/authorities/subjects/sh85006137,http://id.loc.gov/authorities/subjects/sh86007725,http://id.loc.gov/authorities/subjects/sh85025940,,,,,,Apple press in cider mill (recto),open,
