id,model,archival_object_id,has_finding_aid_1,identifier_1,institution_1,local_collection_id_1,repository_1,resource_type,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility
ws859w15j,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b233_T22335_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85078097,http://id.loc.gov/authorities/subjects/sh85050707,http://id.loc.gov/authorities/subjects/sh85145912,http://id.loc.gov/authorities/subjects/sh85137241,,,,,,PH037_b233_T22335_print (verso),open
df72cq93j,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b140_MF00481,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85105986,http://id.loc.gov/authorities/subjects/sh85065835,http://id.loc.gov/authorities/names/no2012108048,http://id.loc.gov/authorities/subjects/sh85065869,http://id.loc.gov/authorities/subjects/sh85046823,,,,,PH037_b140_MF00481 Angelus Studio Photographs,open
ws859q724,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b231_10484_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85111063,http://id.loc.gov/authorities/subjects/sh85041952,http://id.loc.gov/authorities/subjects/sh85110904,http://id.loc.gov/authorities/subjects/sh85111050,,,,,,"Construction at Garden Home, OR., on the Oregon Electric railroad. (verso)",open
kp78hg14m,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b215_29618_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85085422,,,,,,,,PH037_b215_29618_print (recto),open
ws859r755,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b231_B00179_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85026130,http://id.loc.gov/authorities/subjects/sh85062487,http://id.loc.gov/authorities/subjects/sh85128588,http://id.loc.gov/authorities/subjects/sh85128633,,,,,PH037_b231_B00179_print (recto),open
df737936w,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b169_71337,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85004698,http://id.loc.gov/authorities/subjects/sh85020382,http://id.loc.gov/authorities/subjects/sh89002541,,,,,,,PH037_b169_71337,open
ws859m18q,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b225_00901_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85070195,http://id.loc.gov/authorities/subjects/sh85046354,http://id.loc.gov/authorities/subjects/sh85115757,,,,,,,PH037_b225_00901  (recto),open
ws859t16d,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b232_07508_print_copy2_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,http://id.loc.gov/authorities/subjects/sh87002620,,,,http://id.loc.gov/authorities/subjects/sh85093871,http://id.loc.gov/authorities/subjects/sh85096615,http://id.loc.gov/authorities/subjects/sh85026547,http://id.loc.gov/authorities/subjects/sh85119367,http://id.loc.gov/authorities/subjects/sh85026550,http://id.loc.gov/authorities/subjects/sh85119299,http://id.loc.gov/authorities/subjects/sh87002619,http://id.loc.gov/authorities/subjects/sh85012606,http://id.loc.gov/authorities/subjects/sh85096476,Nye Beach (verso),open
jm214s00k,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b217_32655_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85097741,http://id.loc.gov/authorities/subjects/sh85034333,http://id.loc.gov/authorities/subjects/sh85049144,,,,,,,Portland Rose Festival; First prize float 'Pasadena' (verso),open
jm214q404,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b217_11955(1_2)_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85097741,http://id.loc.gov/authorities/subjects/sh85033238,http://id.loc.gov/authorities/subjects/sh85023418,,,,,,,PH037_b217_11955(1_2)_print (recto),open
kp78gn96z,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b200_47639,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85020040,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85109070,http://id.loc.gov/authorities/subjects/sh85010151,,,,,,PH037_b200_47639,open
ws85b6149,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b236_F00020_print_copy4_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85065184,http://id.loc.gov/authorities/subjects/sh85048830,http://id.loc.gov/authorities/subjects/sh2006004604,http://id.loc.gov/authorities/subjects/sh85126361,http://id.loc.gov/authorities/subjects/sh85145720,,,,,PH037_b236_F00020_print_copy4 (verso),open
df72cs11g,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b142_MC00113,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85000744,http://id.loc.gov/authorities/names/n80046059,http://id.loc.gov/authorities/subjects/sh85033638,http://id.loc.gov/authorities/subjects/sh85113514,,,,,,PH037_b142_MC00113 Angelus Studio Photographs,open
ws85b5029,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b236_SH00707_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85116536,http://id.loc.gov/authorities/subjects/sh2003004821,http://id.loc.gov/authorities/subjects/sh85058838,http://id.loc.gov/authorities/subjects/sh85082013,,,,,,PH037_b236_SH00707_print (recto),open
df72cs662,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b142_MC00080,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85037216,http://id.loc.gov/authorities/subjects/sh85015758,http://id.loc.gov/authorities/subjects/sh85083510,,,,,,,PH037_b142_MC00080 Angelus Studio Photographs,open
df737c96r,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b163_Z00604,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85097741,http://id.loc.gov/authorities/subjects/sh85147274,http://id.loc.gov/authorities/subjects/sh85047932,http://id.loc.gov/authorities/subjects/sh85115443,http://id.loc.gov/authorities/subjects/sh85049144,,,,,PH037_b163_Z00604,open
ws859w09d,Image,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b233_T00474_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85145756,http://id.loc.gov/authorities/subjects/sh85135388,http://id.loc.gov/authorities/subjects/sh85078814,http://id.loc.gov/authorities/subjects/sh85038703,http://id.loc.gov/authorities/subjects/sh85078084,,,,,PH037_b233_T00474_print (recto),open
