id,model,children,archival_object_id,has_finding_aid_1,identifier_1,institution_1,local_collection_id_1,repository_1,resource_type,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility,
df738m34c,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b207_Z00738,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/names/n82215451,http://id.loc.gov/authorities/subjects/sh85034333,http://id.loc.gov/authorities/subjects/sh85049144,http://id.loc.gov/authorities/subjects/sh85042531,http://id.loc.gov/authorities/subjects/sh85049332,http://id.loc.gov/authorities/subjects/sh85127212,,,,PH037_b207_Z00738,open,
kp78h859q,Image,kp78h858f,255487,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b214_47252_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85010201,http://id.loc.gov/authorities/subjects/sh85006722,http://id.loc.gov/authorities/subjects/sh00004905,,,,,,,PH037_b214_47252_print (recto),open,
df734x00q,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b148_AM00192,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85098119,http://id.loc.gov/authorities/subjects/sh88004592,,,,,,,PH037_b148_AM00192 Angelus Studio Photographs,open,
df738j161,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b205_Z01871_copy1,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85144807,http://id.loc.gov/authorities/subjects/sh85096547,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh87003234,http://id.loc.gov/authorities/subjects/sh85145756,http://id.loc.gov/authorities/subjects/sh85015159,http://id.loc.gov/authorities/subjects/sh2017003535,,,"The 'River Queen' sternwheeler on river, tall rock cliffs in background; 2 covered wagons on deck.",open,
df737h186,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b172_59368,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh2002010477,http://id.loc.gov/authorities/subjects/sh85098125,http://id.loc.gov/authorities/subjects/sh2002010479,http://id.loc.gov/authorities/subjects/sh98006584,http://id.loc.gov/authorities/subjects/sh87002749,,,,,PH037_b172_59368,open,
kp78gn91k,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b199_49084,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh2008005117,http://id.loc.gov/authorities/subjects/sh85066492,http://id.loc.gov/authorities/subjects/sh85060735,http://id.loc.gov/authorities/subjects/sh85010201,http://id.loc.gov/authorities/subjects/sh85017769,,,,,PH037_b199_49084,open,
kp78hf86n,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b215_27571_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85010201,http://id.loc.gov/authorities/subjects/sh85062487,http://id.loc.gov/authorities/subjects/sh85017769,,,,,,,Congress Hotel. (verso),open,
ws859r780,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b231_B00293_print_copy2_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85009485,http://id.loc.gov/authorities/subjects/sh85128633,http://id.loc.gov/authorities/subjects/sh85017769,,,,,,,PH037_b231_B00293_print_copy2 (verso),open,
n870zv29w,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b213_06743_print_copy2_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85026130,http://id.loc.gov/authorities/subjects/sh85146781,http://id.loc.gov/authorities/subjects/sh85121591,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85015159,,,,,Looking north on Willamette River by Broadway bridge. (verso),open,
df737724p,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b165_85419,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85028740,http://id.loc.gov/authorities/subjects/sh96009624,http://id.loc.gov/authorities/subjects/sh85074392,,,,,,,PH037_b165_85419,open,
df737b915,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b162_82319,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85074860,http://id.loc.gov/authorities/subjects/sh85078097,http://id.loc.gov/authorities/subjects/sh85138931,,,,,,,PH037_b162_82319,open,
jm215874f,Image,jm2158735,254946,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b219_10957_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017693,http://id.loc.gov/authorities/subjects/sh85038703,http://id.loc.gov/authorities/subjects/sh85032928,,,,,,,PH037_b219_10957_print (recto),open,
j3860p928,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b216_TR00033_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh92001523,http://id.loc.gov/authorities/subjects/sh85100163,http://id.loc.gov/authorities/subjects/sh85062160,,,,,,,PH037_b216_TR00033_print (verso),open,
df71fs86r,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b019_B00139,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85026147,http://id.loc.gov/authorities/subjects/sh85033462,http://id.loc.gov/authorities/subjects/sh85062487,http://id.loc.gov/authorities/subjects/sh85047778,,,,,,"Large two-story hotel with balcony in rural setting, Newport. Rows of tent-cabins behind hotel. Timber-covered hills in background, hotel grounds in foreground.",open,
ws859v77b,Image,ws859v79w,255098,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b233_T00238_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85137241,http://id.loc.gov/authorities/subjects/sh85114487,http://id.loc.gov/authorities/subjects/sh85050707,http://id.loc.gov/authorities/subjects/sh85078084,,,,,,PH037_b233_T00238_print (recto),open,
df737c31x,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b162_85283,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85087823,http://id.loc.gov/authorities/subjects/sh85074392,http://id.loc.gov/authorities/subjects/sh85034238,,,,,,,PH037_b162_85283,open,
df737c42f,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b162_85442,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85121591,http://id.loc.gov/authorities/subjects/sh85090355,,,,,,,,PH037_b162_85442,open,
