id,model,children,archival_object_id,has_finding_aid_1,identifier_1,institution_1,local_collection_id_1,repository_1,resource_type,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility,
df735022b,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b151_F00120,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85049588,http://id.loc.gov/authorities/subjects/sh85006247,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85048830,,,,,,PH037_b151_F00120 Angelus Studio Photographs,open,
kp78h816x,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b214_Z00052_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85090174,http://id.loc.gov/authorities/subjects/sh85065184,http://id.loc.gov/authorities/subjects/sh85083510,http://id.loc.gov/authorities/subjects/sh85105182,,,,,,PH037_b214_Z00052_print (verso),open,
ws859s99z,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b232_AM00046_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85119367,http://id.loc.gov/authorities/subjects/sh85012606,http://id.loc.gov/authorities/subjects/sh87003234,http://id.loc.gov/authorities/subjects/sh87002620,http://id.loc.gov/authorities/subjects/sh87002619,http://id.loc.gov/authorities/subjects/sh85117166,,,,"Hug Point, Cannon Beach, OR. (verso)",open,
df71fq00r,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b007_AG00429,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85095323,http://id.loc.gov/authorities/subjects/sh85114559,http://id.loc.gov/authorities/subjects/sh97007704,http://id.loc.gov/authorities/subjects/sh85047294,http://id.loc.gov/authorities/subjects/sh85127207,http://id.loc.gov/authorities/subjects/sh85047778,http://id.loc.gov/authorities/subjects/sh85011902,http://id.loc.gov/authorities/subjects/sh2007007800,http://id.loc.gov/authorities/subjects/sh85059402,PH037_b007_AG00429 Angelus Studio Photographs,open,
ws85b5496,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b236_07333_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85105505,http://id.loc.gov/authorities/subjects/sh85105523,http://id.loc.gov/authorities/subjects/sh85105483,,,,,,,"Portland, Oregon Post Office staff and stamps.  (verso)",open,
df71fr459,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b014_BR00121,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85016829,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85016877,http://id.loc.gov/authorities/subjects/sh85061096,http://id.loc.gov/authorities/subjects/sh85146781,http://id.loc.gov/authorities/subjects/sh2013000212,,,,PH037_b014_BR00121 Angelus Studio Photographs,open,
df72cj54t,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b121_Z01389,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85047778,http://id.loc.gov/authorities/subjects/sh85083510,http://id.loc.gov/authorities/subjects/sh85095430,http://id.loc.gov/authorities/subjects/sh95003565,,,,,,PH037_b121_Z01389 Angelus Studio Photographs,open,
df66tq55t,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_1260td,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85147274,http://id.loc.gov/authorities/subjects/sh85063117,http://opaquenamespace.org/ns/subject/outdoorportrait,http://id.loc.gov/authorities/subjects/sh85010201,http://id.loc.gov/authorities/subjects/sh85083510,,,,,PH037_1260 Angelus Studio photographs,open,
ws85b570f,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b236_45689_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/NoC-US/1.0/,http://creativecommons.org/publicdomain/mark/1.0/,,,,,http://id.loc.gov/authorities/subjects/sh85134578,http://id.loc.gov/authorities/names/n88034586,http://id.loc.gov/authorities/subjects/sh88004738,http://id.loc.gov/authorities/names/n97847299,http://id.loc.gov/authorities/subjects/sh85122412,,,,,PH037_b236_45689_print (verso),open,
df735081h,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b152_BR00076,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017693,http://id.loc.gov/authorities/subjects/sh85016829,http://id.loc.gov/authorities/subjects/sh85114250,,,,,,,PH037_b152_BR00076 Angelus Studio Photographs,open,
